Campaign_Name,Id,Status,Date,Month,Amount,Payout,Currency,Sub_Id,Inventory,Partner,Email_Id
Udemy WW,1094331617,pending,2024-10-29,V-Oct'24,21.58,144.6864,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094331799,pending,2024-10-28,V-Oct'24,7.29,48.7896,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093315210,pending,2024-10-28,V-Oct'24,5929,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093305547,pending,2024-10-28,V-Oct'24,6568,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094331851,pending,2024-10-28,V-Oct'24,16.18,108.5148,INR,pt,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094331822,pending,2024-10-28,V-Oct'24,4.36,29.442,INR,pt,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093290944,pending,2024-10-28,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094331754,pending,2024-10-28,V-Oct'24,4.36,29.442,INR,pt,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1093293818,pending,2024-10-28,V-Oct'24,20,3364.8,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093282049,pending,2024-10-28,V-Oct'24,10652,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093278771,pending,2024-10-28,V-Oct'24,31199,210,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094331804,pending,2024-10-28,V-Oct'24,19.82,133.7508,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093249148,pending,2024-10-28,V-Oct'24,10190,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093249138,pending,2024-10-28,V-Oct'24,7565,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093227360,pending,2024-10-28,V-Oct'24,5512,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093221474,pending,2024-10-28,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094331448,pending,2024-10-28,V-Oct'24,9.09,60.5664,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1093215399,pending,2024-10-28,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
xcom-shop.ru,1093204865,pending,2024-10-28,V-Oct'24,14490,124.614,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1094331869,pending,2024-10-28,V-Oct'24,5.93,40.3776,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094331915,pending,2024-10-28,V-Oct'24,14.99,100.944,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094066869,pending,2024-10-28,V-Oct'24,6.11,41.2188,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094066860,pending,2024-10-27,V-Oct'24,5.34,36.1716,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094066853,pending,2024-10-27,V-Oct'24,19.43,131.2272,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094066844,pending,2024-10-27,V-Oct'24,16.26,109.356,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Lenovo Many GEOs,1093075788,pending,2024-10-27,V-Oct'24,69.3,146.592,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094075360,pending,2024-10-27,V-Oct'24,26.99,181.6992,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1093059846,pending,2024-10-27,V-Oct'24,0,0,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094075374,pending,2024-10-27,V-Oct'24,0,0,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094075417,pending,2024-10-27,V-Oct'24,5.24,35.3304,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092866058,pending,2024-10-27,V-Oct'24,4491,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092866057,pending,2024-10-27,V-Oct'24,4491,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Foot Locker US CA,1092868020,pending,2024-10-27,V-Oct'24,59.99,100.944,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092864732,pending,2024-10-27,V-Oct'24,18380,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
IGP [CPS] WW,1092857894,pending,2024-10-27,V-Oct'24,516,36.12,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1094075430,pending,2024-10-27,V-Oct'24,12.99,87.4848,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092798643,pending,2024-10-26,V-Oct'24,12951,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1093782601,pending,2024-10-26,V-Oct'24,5.34,36.1716,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092792352,pending,2024-10-26,V-Oct'24,3473,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092792351,pending,2024-10-26,V-Oct'24,3473,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092792347,pending,2024-10-26,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092788497,pending,2024-10-26,V-Oct'24,3158,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092788496,pending,2024-10-26,V-Oct'24,3158,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092788490,pending,2024-10-26,V-Oct'24,4625,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092767770,pending,2024-10-26,V-Oct'24,4194,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092756855,pending,2024-10-26,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092706487,pending,2024-10-26,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092706477,pending,2024-10-26,V-Oct'24,4633,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092702932,pending,2024-10-26,V-Oct'24,17246,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092689622,pending,2024-10-26,V-Oct'24,4625,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092689621,pending,2024-10-26,V-Oct'24,4625,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092689616,pending,2024-10-26,V-Oct'24,4625,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092689613,pending,2024-10-26,V-Oct'24,4625,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1093523219,pending,2024-10-25,V-Oct'24,0,0,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Firstcry [CPS] IN,1092539607,pending,2024-10-25,V-Oct'24,4.96,0,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092494301,pending,2024-10-25,V-Oct'24,3818,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092494300,pending,2024-10-25,V-Oct'24,3818,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092480044,pending,2024-10-25,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092480038,pending,2024-10-25,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092473602,pending,2024-10-25,V-Oct'24,5057,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092444477,pending,2024-10-25,V-Oct'24,5045,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1093523334,pending,2024-10-25,V-Oct'24,12.99,87.4848,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Titan [CPS] IN,1092398458,pending,2024-10-25,V-Oct'24,1345,94.15,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1092374677,pending,2024-10-25,V-Oct'24,0,0,INR,pt,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1092367998,pending,2024-10-25,V-Oct'24,0,0,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252043,pending,2024-10-25,V-Oct'24,18.99,127.8624,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252237,pending,2024-10-25,V-Oct'24,21.55,144.6864,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252255,pending,2024-10-24,V-Oct'24,6.53,43.7424,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252108,pending,2024-10-24,V-Oct'24,5.94,40.3776,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252096,pending,2024-10-24,V-Oct'24,6.53,43.7424,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Lenovo Many GEOs,1092284691,pending,2024-10-24,V-Oct'24,16.13,32.9832,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092275636,pending,2024-10-24,V-Oct'24,31113,210,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Lenovo Many GEOs,1092276224,pending,2024-10-24,V-Oct'24,874.62,1232.289,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1092258977,pending,2024-10-24,V-Oct'24,0,0,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092247457,pending,2024-10-24,V-Oct'24,4481,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092247456,pending,2024-10-24,V-Oct'24,5990,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1093252155,pending,2024-10-24,V-Oct'24,6.14,41.2188,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092233763,pending,2024-10-24,V-Oct'24,7565,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092233762,pending,2024-10-24,V-Oct'24,7565,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092233760,pending,2024-10-24,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092233759,pending,2024-10-24,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1093252293,pending,2024-10-24,V-Oct'24,5.26,35.3304,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252285,pending,2024-10-24,V-Oct'24,5.26,35.3304,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252206,pending,2024-10-24,V-Oct'24,5.26,35.3304,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092231001,pending,2024-10-24,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1093252268,pending,2024-10-24,V-Oct'24,6.14,41.2188,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092214992,pending,2024-10-24,V-Oct'24,6566,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Skycop Many GEOs,1092214064,pending,2024-10-24,V-Oct'24,0,1374.3,INR,pt,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092208289,pending,2024-10-24,V-Oct'24,6410,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092208288,pending,2024-10-24,V-Oct'24,6410,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1093252260,pending,2024-10-24,V-Oct'24,5.26,35.3304,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1093252137,pending,2024-10-24,V-Oct'24,16.16,108.5148,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Foot Locker US CA,1092189248,pending,2024-10-24,V-Oct'24,260,437.424,INR,pt,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092147008,pending,2024-10-24,V-Oct'24,5990,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1092972140,pending,2024-10-24,V-Oct'24,13.99,94.2144,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972134,pending,2024-10-24,V-Oct'24,13.99,94.2144,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972301,pending,2024-10-24,V-Oct'24,19.46,131.2272,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092005625,pending,2024-10-23,V-Oct'24,6440,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1092005622,pending,2024-10-23,V-Oct'24,14707,210,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1092972201,pending,2024-10-23,V-Oct'24,16.19,108.5148,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972171,pending,2024-10-23,V-Oct'24,19.43,131.2272,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1091985643,pending,2024-10-23,V-Oct'24,3473,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1091982424,pending,2024-10-23,V-Oct'24,3473,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1092972359,pending,2024-10-23,V-Oct'24,6.13,41.2188,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1091961430,pending,2024-10-23,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1092972187,pending,2024-10-23,V-Oct'24,16.29,109.356,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972429,pending,2024-10-23,V-Oct'24,5.25,35.3304,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1091940582,pending,2024-10-23,V-Oct'24,9140,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1091942967,pending,2024-10-23,V-Oct'24,0,0,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972386,pending,2024-10-23,V-Oct'24,19.46,131.2272,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972372,pending,2024-10-23,V-Oct'24,23.36,157.3044,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972225,pending,2024-10-23,V-Oct'24,19.46,131.2272,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972211,pending,2024-10-23,V-Oct'24,19.46,131.2272,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1091924485,pending,2024-10-23,V-Oct'24,0,0,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972263,pending,2024-10-23,V-Oct'24,5.55,37.0128,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1091901267,pending,2024-10-23,V-Oct'24,0,0,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972437,pending,2024-10-23,V-Oct'24,8.97,60.5664,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972209,pending,2024-10-23,V-Oct'24,11.47,77.3904,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092972166,pending,2024-10-23,V-Oct'24,8.97,60.5664,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731680,pending,2024-10-23,V-Oct'24,5.26,35.3304,INR,,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731550,pending,2024-10-22,V-Oct'24,18.38,123.6564,INR,,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731360,pending,2024-10-22,V-Oct'24,13.78,92.532,INR,,Real Pricetracker,Admitad,contact@xocoupon.com
Ajio [CPS] IN,1091743791,pending,2024-10-22,V-Oct'24,779.5,65.48,INR,aab,Real Pricetracker,Admitad,contact@xocoupon.com
Ajio [CPS] IN,1091743790,pending,2024-10-22,V-Oct'24,779.5,65.48,INR,aab,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731626,pending,2024-10-22,V-Oct'24,5.21,35.3304,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731613,pending,2024-10-22,V-Oct'24,11.94,80.7552,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731601,pending,2024-10-22,V-Oct'24,11.94,80.7552,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731369,pending,2024-10-22,V-Oct'24,4.47,30.2832,INR,tab_ch,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731638,pending,2024-10-22,V-Oct'24,11.94,80.7552,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731573,pending,2024-10-22,V-Oct'24,11.94,80.7552,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731421,pending,2024-10-22,V-Oct'24,11.94,80.7552,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092731555,pending,2024-10-22,V-Oct'24,13.78,92.532,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Firstcry [CPS] IN,1091489268,pending,2024-10-21,V-Oct'24,790.98,35,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Firstcry [CPS] IN,1091396057,pending,2024-10-21,V-Oct'24,769.91,35,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Depositphotos [CPS] WW,1091344066,approved,2024-10-21,V-Oct'24,181.59,3513.6924,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Pepperfry Web [CPS] IN,1091320880,pending,2024-10-21,V-Oct'24,1,0.05,INR,aab,Real Pricetracker,Admitad,contact@xocoupon.com
Pepperfry Web [CPS] IN,1091320292,pending,2024-10-21,V-Oct'24,1,0.05,INR,aab,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092464526,pending,2024-10-21,V-Oct'24,0,0,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092454509,pending,2024-10-21,V-Oct'24,19.99,134.592,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Firstcry [CPS] IN,1091182391,pending,2024-10-20,V-Oct'24,451.87,21,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092236938,pending,2024-10-20,V-Oct'24,15.29,102.6264,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092226414,pending,2024-10-20,V-Oct'24,15.29,102.6264,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092226387,pending,2024-10-20,V-Oct'24,15.29,102.6264,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092226384,pending,2024-10-20,V-Oct'24,15.29,102.6264,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1091091411,pending,2024-10-20,V-Oct'24,96,3364.8,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1092226397,pending,2024-10-20,V-Oct'24,22.13,148.8924,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
MMT Hotels [CPS] IN,1091347749,pending,2024-10-20,V-Oct'24,0,140,INR,aab,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091940280,pending,2024-10-19,V-Oct'24,9.11,61.4076,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Moglix [CPS] IN,1091527904,pending,2024-10-19,V-Oct'24,760,31.92,INR,,xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1091666244,pending,2024-10-18,V-Oct'24,5.29,35.3304,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091666378,pending,2024-10-18,V-Oct'24,5.29,35.3304,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091666196,pending,2024-10-18,V-Oct'24,7.06,47.1072,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091666163,pending,2024-10-18,V-Oct'24,7.06,47.1072,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091666232,pending,2024-10-18,V-Oct'24,6.53,43.7424,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091666148,pending,2024-10-18,V-Oct'24,13.99,94.2144,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091666210,pending,2024-10-18,V-Oct'24,14.99,100.944,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Ancestry US CA UK AU DE,1090559501,pending,2024-10-18,V-Oct'24,118,1772.4084,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Udemy WW,1091376250,pending,2024-10-17,V-Oct'24,0,0,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1090421799,pending,2024-10-17,V-Oct'24,4901,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1090423331,pending,2024-10-17,V-Oct'24,0,0,INR,atrf,Real Pricetracker,Admitad,contact@xocoupon.com
Cleartrip [CPS] IN,1090412719,pending,2024-10-17,V-Oct'24,7040,140,INR,atrf,xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1090414649,pending,2024-10-17,V-Oct'24,0,0,INR,tabm,Real Pricetracker,Admitad,contact@xocoupon.com
